ID;Name;Sex;PeoplesCount
20681;Аквелина;ЖЕН.;2
20682;Аквила;ЖЕН.;115
20683;Аквилина;ЖЕН.;10
20684;Аквилия;ЖЕН.;2
20685;Аквина;ЖЕН.;3
20686;Акгозель;ЖЕН.;4
20687;Акгыз;ЖЕН.;5
20688;Акгуль;ЖЕН.;1000
20689;Акгюль;ЖЕН.;30
20690;Акджа;ЖЕН.;7
20692;Акджемал;ЖЕН.;8
20694;Акелина;ЖЕН.;136
20695;Акелына;ЖЕН.;1
20696;Акерке;ЖЕН.;18000
20697;Акжанна;ЖЕН.;15
20698;Акзиба;ЖЕН.;12
20699;Акико;ЖЕН.;87
20700;Акилина;ЖЕН.;2000
20701;Акилия;ЖЕН.;1
20702;Акиля;ЖЕН.;27
20703;Акима;ЖЕН.;3000
20704;Акиме;ЖЕН.;190
20705;Акимена;ЖЕН.;10
20706;Акимина;ЖЕН.;63
20707;Акина;ЖЕН.;206
20708;Акинола;ЖЕН.;5
20710;Акипина;ЖЕН.;1
20711;Акифа;ЖЕН.;21
20712;Акка;ЖЕН.;1000
20714;Аккелина;ЖЕН.;2
20716;Аккулина;ЖЕН.;27
20717;Аклилу;ЖЕН.;1
20718;Аклима;ЖЕН.;1000
20719;Аклиме;ЖЕН.;5
20720;Аклина;ЖЕН.;19
20721;Аклиста;ЖЕН.;2
20722;Аклымя;ЖЕН.;1
20723;Акмаль;ЖЕН.;5000
20724;Акмарал;ЖЕН.;27000
20725;Акнабат;ЖЕН.;26
20726;Акнаид;ЖЕН.;1
20727;Аксана;ЖЕН.;10000
20728;Аксанита;ЖЕН.;6
20729;Аксану;ЖЕН.;1
20731;Акселина;ЖЕН.;4
20732;Акселия;ЖЕН.;3
20733;Аксель;ЖЕН.;1000
20734;Аксена;ЖЕН.;27
20735;Аксения;ЖЕН.;708
20736;Аксенияе;ЖЕН.;2
20737;Аксентия;ЖЕН.;7
20738;Аксенья;ЖЕН.;93
20739;Аксеня;ЖЕН.;18
20740;Аксима;ЖЕН.;81
20741;Аксина;ЖЕН.;17
20742;Аксиния;ЖЕН.;1000
20743;Аксинья;ЖЕН.;6000
20744;Аксиня;ЖЕН.;14
20745;Аксипия;ЖЕН.;1
20746;Аксират;ЖЕН.;12
20747;Аксона;ЖЕН.;21
20748;Аксырга;ЖЕН.;64
20750;Аксюта;ЖЕН.;991
20751;Акта;ЖЕН.;92
20752;Актавина;ЖЕН.;19
20753;Актавия;ЖЕН.;34
20754;Актебрина;ЖЕН.;16
20755;Актерина;ЖЕН.;5
20757;Активина;ЖЕН.;6
20758;Актия;ЖЕН.;6
20759;Актя;ЖЕН.;9
20760;Акуза;ЖЕН.;1
20761;Акулина;ЖЕН.;3000
20763;Акупина;ЖЕН.;1
20764;Акылай;ЖЕН.;2000
20765;Алавдина;ЖЕН.;2
20766;Алада;ЖЕН.;19
20767;Алаида;ЖЕН.;15
20768;Алаиза;ЖЕН.;9
20769;Алаина;ЖЕН.;15
20770;Алайда;ЖЕН.;6
20771;Алаксандра;ЖЕН.;21
20773;Алампия;ЖЕН.;1
20774;Алана;ЖЕН.;6000
20775;Аланна;ЖЕН.;36
20776;Алантина;ЖЕН.;1
20778;Алатина;ЖЕН.;31
20779;Алафия;ЖЕН.;1
20780;Алачка;ЖЕН.;71
20781;Албала;ЖЕН.;3
20782;Албания;ЖЕН.;84000
20783;Алббина;ЖЕН.;7
20785;Албида;ЖЕН.;1
20787;Албина;ЖЕН.;1000
20789;Албэна;ЖЕН.;9
20790;Алван;ЖЕН.;76
20791;Алвара;ЖЕН.;7
20792;Алварда;ЖЕН.;1
20793;Алвента;ЖЕН.;2
20794;Алвида;ЖЕН.;4
20795;Алвина;ЖЕН.;216
20796;Алвира;ЖЕН.;10
20799;Алгиллина;ЖЕН.;2
20800;Алгина;ЖЕН.;58
20802;Алгова;ЖЕН.;4
20805;Алдина;ЖЕН.;55
20806;Алдокия;ЖЕН.;2
20807;Алдона;ЖЕН.;140
20808;Алдра;ЖЕН.;8
20809;Алдя;ЖЕН.;32
20810;Алеага;ЖЕН.;1
20811;Алеана;ЖЕН.;117
20812;Алева;ЖЕН.;141
20813;Алевгина;ЖЕН.;1
20815;Алевтана;ЖЕН.;5
20816;Алевтина;ЖЕН.;71000
20817;Алевтиния;ЖЕН.;1
20818;Алегдина;ЖЕН.;1
